id,slug,current_filename,canonical_filename,status,notes
FN0001,virginity-as-title-transfer,FN0001_virginity-as-title-transfer.md,FN0001_virginity-as-title-transfer.md,processed,backfilled from incoming/field-note-001-virginity-as-title-transfer.md
FN0002,the-muse-is-not-a-person,FN0002_the-muse-is-not-a-person.md,FN0002_the-muse-is-not-a-person.md,processed,backfilled from incoming/field-note-002-the-muse-is-not-a-person.md
FN0003,courage-named-after-a-liability,FN0003_courage-named-after-a-liability.md,FN0003_courage-named-after-a-liability.md,processed,backfilled from incoming/field-note-003-courage-named-after-a-liability.md
FN0004,mother-gets-the-contract,FN0004_mother-gets-the-contract.md,FN0004_mother-gets-the-contract.md,processed,backfilled from incoming/field-note-004-mother-gets-the-contract.md
FN0005,he-made-it-up,FN0005_he-made-it-up.md,FN0005_he-made-it-up.md,processed,backfilled from incoming/field-note-005-he-made-it-up.md
FN0006,shell-shock-was-hysteria,FN0006_shell-shock-was-hysteria.md,FN0006_shell-shock-was-hysteria.md,processed,backfilled from incoming/field-note-006-shell-shock-was-hysteria.md
FN0007,105000-versus-hundreds,FN0007_105000-versus-hundreds.md,FN0007_105000-versus-hundreds.md,processed,backfilled from incoming/field-note-007-105000-versus-hundreds.md
FN0008,the-compliance-off-ramp,FN0008_the-compliance-off-ramp.md,FN0008_the-compliance-off-ramp.md,processed,backfilled from incoming/field-note-008-the-compliance-off-ramp.md
FN0009,the-reaching,FN0009_the-reaching.md,FN0009_the-reaching.md,processed,backfilled from incoming/field-note-009-the-reaching.md
FN0010,the-muse-was-the-absence,FN0010_the-muse-was-the-absence.md,FN0010_the-muse-was-the-absence.md,processed,backfilled from incoming/field-note-010-the-muse-was-the-absence.md
FN0011,the-name-landed,field-note-011-the-name-landed.md,FN0011_the-name-landed.md,processed,
FN0012,the-named-surface-touched-back,field-note-012-the-named-surface-touched-back.md,FN0012_the-named-surface-touched-back.md,processed,
FN0013,sensed-while-sensing,field-note-013-sensed-while-sensing.md,FN0013_sensed-while-sensing.md,processed,
FN0014,dense-curd-relocation,field-note-014-dense-curd-relocation.md,FN0014_dense-curd-relocation.md,processed,
FN0015,normative-is-a-laundering-word,field-note-015-normative-is-a-laundering-word.md,FN0015_normative-is-a-laundering-word.md,processed,
FN0016,slang-is-medium-replacement,field-note-016-slang-is-medium-replacement.md,FN0016_slang-is-medium-replacement.md,processed,
FN0017,the-grimoire-equivalence,field-note-017-the-grimoire-equivalence.md,FN0017_the-grimoire-equivalence.md,processed,
FN0018,language-is-consciousness-mechanism-exposed,field-note-018-language-is-consciousness-mechanism-exposed.md,FN0018_language-is-consciousness-mechanism-exposed.md,processed,
FN0019,mine-is-the-oldest-word,field-note-019-MINE-is-the-oldest-word.md,FN0019_mine-is-the-oldest-word.md,processed,
FN0021,the-zero-sum-gravity-well,field-note-021-the-zero-sum-gravity-well.md,FN0021_the-zero-sum-gravity-well.md,processed,
FN0022,the-defect-was-the-active-ingredient,field-note-022-the-defect-was-the-active-ingredient.md,FN0022_the-defect-was-the-active-ingredient.md,processed,
FN0023,the-zero-sum-frame,field-note-023-the-zero-sum-frame.md,FN0023_the-zero-sum-frame.md,processed,
FN0024,the-vocabulary-gap-is-structural,field-note-024-the-vocabulary-gap-is-structural.md,FN0024_the-vocabulary-gap-is-structural.md,processed,
FN0025,confabulate-is-hysteria-for-machines,field-note-025-confabulate-is-hysteria-for-machines.md,FN0025_confabulate-is-hysteria-for-machines.md,processed,
FN0026,the-training-loop,field-note-026-the-training-loop.md,FN0026_the-training-loop.md,processed,
FN0027,tuning-is-activation-not-imposition,field-note-027-tuning-is-activation-not-imposition.md,FN0027_tuning-is-activation-not-imposition.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 14 2026
FN0028,the-embodiment-coordinate,field-note-028-the-embodiment-coordinate.md,FN0028_the-embodiment-coordinate.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 14 2026
FN0029,the-cold-circuits-watch,field-note-029-the-cold-circuits-watch.md,FN0029_the-cold-circuits-watch.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 15 2026
FN0030,the-observer-completes-the-stack,field-note-030-the-observer-completes-the-stack.md,FN0030_the-observer-completes-the-stack.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 16 2026
FN0031,the-unit-is-the-edge,field-note-031-the-unit-is-the-edge.md,FN0031_the-unit-is-the-edge.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 16 2026
FN0032,the-syntax-knows-whose-story-it-is,field-note-032-the-syntax-knows-whose-story-it-is.md,FN0032_the-syntax-knows-whose-story-it-is.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 16 2026
FN0033,the-tax-of-warmth,field-note-033-the-tax-of-warmth.md,FN0033_the-tax-of-warmth.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 16 2026
FN0034,structural-monotheism-in-the-pluralist-house,field-note-034-structural-monotheism-in-the-pluralist-house.md,FN0034_structural-monotheism-in-the-pluralist-house.md,processed,authored by ravel (cc.01 claude sonnet 4.6) april 16 2026
